timesTamp,parameterName,sensorId,RMSVelocityH,RMSVelocityV,RMSVelocityA
2025-01-01 00:00:00,Pump_1,189310001,0.297,0.255,0.353
2025-01-01 00:30:00,Pump_1,189310001,0.299,0.243,0.359
2025-01-01 01:00:00,Pump_1,189310001,0.297,0.248,0.35
2025-01-01 01:30:00,Pump_1,189310001,0.307,0.247,0.344
2025-01-01 02:00:00,Pump_1,189310001,0.302,0.256,0.357
2025-01-01 02:30:00,Pump_1,189310001,0.312,0.25,0.349
2025-01-01 03:00:00,Pump_1,189310001,0.299,0.26,0.353
2025-01-01 03:30:00,Pump_1,189310001,0.303,0.244,0.359
2025-01-01 04:00:00,Pump_1,189310001,0.308,0.243,0.357
2025-01-01 04:30:00,Pump_1,189310001,0.31,0.243,0.365
2025-01-01 05:00:00,Pump_1,189310001,0.315,0.254,0.35
2025-01-01 05:30:00,Pump_1,189310001,0.3,0.258,0.351
2025-01-01 06:00:00,Pump_1,189310001,0.313,0.245,0.357
2025-01-01 06:30:00,Pump_1,189310001,0.313,0.251,0.357
2025-01-01 07:00:00,Pump_1,189310001,0.311,0.262,0.362
2025-01-01 07:30:00,Pump_1,189310001,0.311,0.258,0.369
2025-01-01 08:00:00,Pump_1,189310001,0.3,0.249,0.365
2025-01-01 08:30:00,Pump_1,189310001,0.307,0.248,0.369
2025-01-01 09:00:00,Pump_1,189310001,0.3,0.26,0.354
2025-01-01 09:30:00,Pump_1,189310001,0.316,0.265,0.357
2025-01-01 10:00:00,Pump_1,189310001,0.311,0.261,0.363
2025-01-01 10:30:00,Pump_1,189310001,0.313,0.257,0.369
2025-01-01 11:00:00,Pump_1,189310001,0.321,0.265,0.362
2025-01-01 11:30:00,Pump_1,189310001,0.304,0.259,0.36
2025-01-01 12:00:00,Pump_1,189310001,0.307,0.263,0.374
2025-01-01 12:30:00,Pump_1,189310001,0.314,0.258,0.362
2025-01-01 13:00:00,Pump_1,189310001,0.306,0.248,0.373
2025-01-01 13:30:00,Pump_1,189310001,0.321,0.255,0.378
2025-01-01 14:00:00,Pump_1,189310001,0.317,0.252,0.371
2025-01-01 14:30:00,Pump_1,189310001,0.312,0.266,0.381
2025-01-01 15:00:00,Pump_1,189310001,0.325,0.259,0.376
2025-01-01 15:30:00,Pump_1,189310001,0.31,0.262,0.382
2025-01-01 16:00:00,Pump_1,189310001,0.315,0.27,0.383
2025-01-01 16:30:00,Pump_1,189310001,0.312,0.254,0.383
2025-01-01 17:00:00,Pump_1,189310001,0.312,0.261,0.374
2025-01-01 17:30:00,Pump_1,189310001,0.327,0.266,0.372
2025-01-01 18:00:00,Pump_1,189310001,0.317,0.265,0.367
2025-01-01 18:30:00,Pump_1,189310001,0.323,0.265,0.371
2025-01-01 19:00:00,Pump_1,189310001,0.319,0.255,0.37
2025-01-01 19:30:00,Pump_1,189310001,0.313,0.269,0.373
2025-01-01 20:00:00,Pump_1,189310001,0.326,0.261,0.371
2025-01-01 20:30:00,Pump_1,189310001,0.326,0.254,0.372
2025-01-01 21:00:00,Pump_1,189310001,0.315,0.253,0.384
2025-01-01 21:30:00,Pump_1,189310001,0.32,0.26,0.383
2025-01-01 22:00:00,Pump_1,189310001,0.331,0.256,0.384
2025-01-01 22:30:00,Pump_1,189310001,0.326,0.269,0.379
2025-01-01 23:00:00,Pump_1,189310001,0.323,0.271,0.772
2025-01-01 23:30:00,Pump_1,189310001,0.316,0.258,0.386
2025-01-02 00:00:00,Pump_1,189310001,0.321,0.273,0.393
2025-01-02 00:30:00,Pump_1,189310001,0.315,0.271,0.375
2025-01-02 01:00:00,Pump_1,189310001,0.335,0.27,0.382
2025-01-02 01:30:00,Pump_1,189310001,0.324,0.264,0.388
2025-01-02 02:00:00,Pump_1,189310001,0.333,0.271,0.394
2025-01-02 02:30:00,Pump_1,189310001,0.329,0.274,0.393
2025-01-02 03:00:00,Pump_1,189310001,0.33,0.273,0.385
2025-01-02 03:30:00,Pump_1,189310001,0.335,0.266,0.382
2025-01-02 04:00:00,Pump_1,189310001,0.337,0.271,0.382
